degree,count,probability
2,18,0.0014349489795918368
3,21,0.0016741071428571428
4,211,0.01682079081632653
5,237,0.018893494897959183
6,490,0.0390625
7,678,0.05404974489795918
8,1127,0.08984375
9,1299,0.10355548469387756
10,1609,0.1282684948979592
11,1755,0.13990752551020408
12,1853,0.14772002551020408
13,1466,0.1168686224489796
14,932,0.0742984693877551
15,450,0.03587372448979592
16,220,0.017538265306122448
17,126,0.010044642857142858
18,41,0.003268494897959184
19,10,0.0007971938775510204
20,1,7.971938775510203e-05
